CODE,DESCRIPTION,C0010
R0510,ZTR – Neživljenjska zavarovanja,596.783
R0520,ZTR – Neživljenjska zavarovanja (brez zdravstvenih zavarovanj),580.589
R0540,Najboljša ocena,557.398
R0550,Dodatek za tveganje,23.191
R0560,ZTR – Zdravstvena zavarovanja (podobna neživljenjskim),16.194
R0580,Najboljša ocena,15.033
R0590,Dodatek za tveganje,1.161
R0600,"ZTR – Življenjska zavarovanja (razen zavarovanj, vezanih na indeks ali enoto premoženja)",699.761
R0610,ZTR – Zdravstvena zavarovanja (podobna življenjskim),147.0
R0630,Najboljša ocena,147.0
R0640,Dodatek za tveganje,147.0
R0650,"ZTR – Življenjska zavarovanja (razen zdravstvenih zavarovanj in zavarovanj, vezanih na indeks ali enoto premoženja)",0.0
R0660,"Zavarovalno-tehnične rezervacije, izračunane kot celota",699.614
R0670,Najboljša ocena,678.631
R0680,Dodatek za tveganje,20.983
R0690,"ZTR – Zavarovanja, vezana na indeks ali enoto premoženja",889.606
R0710,Najboljša ocena,868.864
R0720,Dodatek za tveganje,20.742
R0750,"Rezervacije, razen zavarovalno-tehničnih rezervacij",14.878
R0770,Depoziti pozavarovateljev,16.0
R0780,Odložene obveznosti za davek,12.988
R0790,Izvedeni finančni instrumenti,47.0
R0810,"Finančne obveznosti, razen zneskov, dolgovanih kreditnim institucijam",6.0
R0820,Obveznosti iz naslova zavarovanja in obveznosti do posrednikov,6.284
R0830,Obveznosti iz naslova pozavarovanja,7.367
R0840,"Obveznosti (do kupcev, nepovezane z zavarovanjem)",80.476
R0850,Podrejene obveznosti,151.238
R0870,"Podrejene obveznosti, ki so del osnovnih lastnih sredstev",151.238
R0880,"Vse druge obveznosti, ki niso prikazane drugje",11.823
R0900,Obveznosti skupaj,
R1000,Presežek sredstev nad obveznostmi,
