CODE,DESCRIPTION,C0010
R0670,Najboljša ocena,"375.513,91"
R0680,Marža za tveganje,"6.994,55"
R0690,"Zavarovalno-tehnične rezervacije - zavarovanja, vezana na indeks ali enoto premoženja","$-66.332,54$"
R0700,"Zavarovalno-tehnične rezervacije, izračunane kot celota","0,00"
R0710,Najboljša ocena,"$-127.229,01$"
R0720,Marža za tveganje,"60.896,46"
R0740,Pogojne obveznosti,"0,00"
R0750,"Rezervacije, razen zavarovalno-tehničnih rezervacij","451,59"
R0760,Obveznosti iz naslova pokojninskih shem,"12.934,52"
R0770,Depoziti pozavarovateljev,"0,00"
R0780,Odložene obveznosti za davek,"64.650,52"
R0790,Izvedeni finančni instrumenti,"0,00"
R0800,"Zneski, dolgovani kreditnim institucijam","0,00"
R0810,"Finančne obveznosti, razen zneskov, dolgovanih kreditnim institucijam","0,00"
R0820,Obveznosti iz naslova zavarovanja in obveznosti do posrednikov,"2,89"
R0830,Obveznosti iz naslova pozavarovanja,"0,00"
R0840,"Obveznosti (do kupcev, nepovezane z zavarovanjem)","$5.117,24$"
R0850,Podrejene obveznosti,"0,00"
R0860,"Podrejene obveznosti, ki niso del osnovnih lastnih sredstev","0,00"
R0870,"Podrejene obveznosti, ki so del osnovnih lastnih sredstev","0,00"
R0880,"Vse druge obveznosti, ki niso prikazane drugje","657,80"
R0900,Obveznosti skupaj,"400.093,30"
R1000,Presežek sredstev nad obveznostmi,"496.901,07"
